feature,base_entropy,expected_entropy,IG,cost,IG_per_cost,num_values,numeric,categories_or_bins,max_dismissal_rate,avg_dismissal_rate,best_dismissal_value
CONSTRUCTION.ELEMENT.HAS_CE_MARKING,103.20674216000988,103.19242384836883,0.014318311641048354,0.25,0.057273246564193414,2,True,"[(None, 0.0), (0.0, None)]",0.0,0.0,≤0.0
ROUTE.LEADS_TO_REFUGE_AREA,103.20674216000988,103.19244221636143,0.014299943648452995,0.25,0.05719977459381198,2,True,"[(None, 1.0), (1.0, None)]",0.0,0.0,≤1.0
STAIRCASE.CONNECTS_DIFFERENT_FIRE_SECTORS,103.20674216000988,103.19246474601312,0.014277413996765631,0.25,0.057109655987062524,2,True,"[(None, 1.0), (1.0, None)]",0.0024630541871921183,0.0024630541871921183,≤1.0
FURNITURE.TYPE,103.20674216000988,103.19252686305603,0.014215296953850043,0.25,0.05686118781540017,2,False,"['FIXED_ARMCHAIR', 'FIXED_SEAT']",0.0,0.0,FIXED_ARMCHAIR
FIRE_COMPARTMENTATION_ELEMENT.IS_CROSSED_BY_INSTALLATION_ELEMENT,103.20674216000988,103.19260919683163,0.014132963178255409,0.25,0.056531852713021635,2,True,"[(None, 1.0), (1.0, None)]",0.0024630541871921183,0.0024630541871921183,≤1.0
SECTION.REFERENCE,103.20674216000988,103.19275775520302,0.013984404806862472,0.25,0.055937619227449886,2,False,"['E.4.2', 'E.4.3']",0.0,0.0,E.4.2
CURTAIN.CLOSURE.ACTIVATION.IS_OPERATING,103.20674216000988,103.19286936305943,0.013872796950451516,0.25,0.05549118780180606,2,True,"[(None, 1.0), (1.0, None)]",0.0024630541871921183,0.0024630541871921183,≤1.0
STAIRCASE.HAS_FACADES,103.20674216000988,103.19293735476094,0.013804805248938123,0.25,0.055219220995752494,2,True,"[(None, 1.0), (1.0, None)]",0.0024630541871921183,0.0024630541871921183,≤1.0
EVACUATION.ROUTE.REQUIRES_ASCENDING_HEIGHT,103.20674216000988,103.19297665917284,0.013765500837038758,0.25,0.05506200334815503,2,True,"[(None, 1.0), (1.0, None)]",0.0024630541871921183,0.0024630541871921183,≤1.0
PREMISES.RISK_LEVEL,103.20674216000988,103.1929901998329,0.01375196017697533,0.25,0.05500784070790132,2,False,"['HIGH', 'MEDIUM']",0.0,0.0,HIGH
FLOOR.OCCUPANCY.ASCENDING_EVACUATION,103.20674216000988,103.19302437030626,0.013717789703619587,0.25,0.05487115881447835,2,True,"[(None, 50.0), (50.0, None)]",0.0,0.0,≤50.0
